name,taskid,kind,started,resolved,locale
repackage-l10n-gu-IN-macosx64-shippable/opt,E-Y0BljeTO-Fx9ZaV5hDHQ,repackage-l10n,2019-06-17 23:32:12.527000+00:00,2019-06-17 23:34:36.273000+00:00,
balrog-son-win64-aarch64-shippable/opt,E-giRdnWS-Gx9JlQHOq-lQ,balrog,2019-06-18 01:20:59.794000+00:00,2019-06-18 01:21:21.723000+00:00,
beetmover-checksums-ach-macosx64-shippable/opt,E0KWynM-SlSVEpRBZEB7bA,beetmover-checksums,2019-06-18 00:25:15.279000+00:00,2019-06-18 00:26:07.378000+00:00,ach
balrog-eo-win64-aarch64-shippable/opt,E1PteS_pQ7iC0ZPX9j5n-Q,balrog,2019-06-18 01:37:29.759000+00:00,2019-06-18 01:38:41.339000+00:00,
beetmover-checksums-bs-linux-shippable/opt,E1o2BdFOT4m5rraF-ky5pg,beetmover-checksums,2019-06-18 00:55:02.477000+00:00,2019-06-18 00:55:16.512000+00:00,bs
repackage-signing-msi-el-win32-shippable/opt,E23XoIBdR1iL0Wz330wdjw,repackage-signing-msi,2019-06-18 01:09:13.874000+00:00,2019-06-18 01:09:54.256000+00:00,
partials-ia-macosx64-shippable/opt,E2hNPWwvSqGXgfNhBjlbJA,partials,2019-06-17 23:33:28.070000+00:00,2019-06-17 23:39:03.969000+00:00,
partials-signing-ia-linux-shippable/opt,E3NCH9uzScOZ8wTLGJx0VQ,partials-signing,2019-06-18 00:37:20.214000+00:00,2019-06-18 00:37:34.757000+00:00,
repackage-signing-msi-eu-win32-shippable/opt,E3VPvv8dQXG-yXlaYwdt_Q,repackage-signing-msi,2019-06-18 01:14:31.151000+00:00,2019-06-18 01:15:06.852000+00:00,
mar-signing-l10n-es-CL-win64-shippable/opt,E5f1bBhYTiio-YrDlkcMIQ,mar-signing-l10n,2019-06-18 01:08:21.846000+00:00,2019-06-18 01:08:33.284000+00:00,
mar-signing-l10n-es-AR-win32-shippable/opt,E61ju8SOS6e0bYrLEBIHow,mar-signing-l10n,2019-06-18 00:57:27.982000+00:00,2019-06-18 00:57:39.430000+00:00,
repackage-l10n-nn-NO-win64-shippable/opt,E6G_3-26RdqbwEtgSBrgag,repackage-l10n,2019-06-18 00:47:15.069000+00:00,2019-06-18 01:00:47.707000+00:00,
mar-signing-l10n-trs-macosx64-shippable/opt,E6KEfnOIRSac03EjgOCCNA,mar-signing-l10n,2019-06-17 23:36:37.214000+00:00,2019-06-17 23:36:50.923000+00:00,
repackage-l10n-pt-PT-linux-shippable/opt,E6dI8IlWQai4tK73-7fA-g,repackage-l10n,2019-06-18 00:15:09.708000+00:00,2019-06-18 00:16:33.741000+00:00,
partials-signing-trs-win64-aarch64-shippable/opt,E7CoTYxpQnyR0IMozCtRmg,partials-signing,2019-06-18 01:18:07.599000+00:00,2019-06-18 01:19:20.121000+00:00,
nightly-l10n-macosx64-shippable-19/opt,E7G4doF0QRWZOLDjx6jtXw,nightly-l10n,2019-06-17 23:09:54.187000+00:00,2019-06-17 23:14:46.726000+00:00,
beetmover-repackage-hi-IN-win64-aarch64-shippable/opt,E7Yj2SS8Tm-otJTMQ0v3Ww,beetmover-repackage,2019-06-18 01:16:13.027000+00:00,2019-06-18 01:17:33.077000+00:00,hi-IN
repackage-l10n-ia-linux64-shippable/opt,E7kLlrRJSkW8x0Fn1oeJIw,repackage-l10n,2019-06-17 23:59:47.617000+00:00,2019-06-18 00:01:42.143000+00:00,
mar-signing-l10n-kn-macosx64-shippable/opt,E7lOEcRMTNy60qDHNLIELA,mar-signing-l10n,2019-06-17 23:35:15.160000+00:00,2019-06-17 23:35:30.400000+00:00,
repackage-msi-uk-win32-shippable/opt,E7n-mZd4TGaQbcZCaF_97w,repackage-msi,2019-06-18 00:44:51.613000+00:00,2019-06-18 00:56:06.558000+00:00,
repackage-msi-pt-PT-win32-shippable/opt,E7rTxCPnTxGZKKnUla9apg,repackage-msi,2019-06-18 00:59:51.936000+00:00,2019-06-18 01:08:00.140000+00:00,
beetmover-checksums-af-win64-aarch64-shippable/opt,E8DuXe-8QpitTsCC8fSyqA,beetmover-checksums,2019-06-18 01:39:23.580000+00:00,2019-06-18 01:39:37.210000+00:00,af
balrog-gl-win64-aarch64-shippable/opt,E8JrW-rrTlCcmyjgtLtz7A,balrog,2019-06-18 01:22:58.612000+00:00,2019-06-18 01:23:22.122000+00:00,
repackage-signing-l10n-ar-win32-shippable/opt,E8MU2FPKTo-asPeDXsZltg,repackage-signing-l10n,2019-06-18 00:59:13.366000+00:00,2019-06-18 01:00:01.701000+00:00,
beetmover-checksums-hu-linux-shippable/opt,E8jDTglBQ6K6vp5ZMt8Fbg,beetmover-checksums,2019-06-18 00:54:39.038000+00:00,2019-06-18 00:55:44.328000+00:00,hu
repackage-msi-et-win32-shippable/opt,E9S7L14GS2CwTQhMAs6Lhw,repackage-msi,2019-06-18 00:55:43.794000+00:00,2019-06-18 01:03:59.998000+00:00,
repackage-signing-l10n-fr-win64-aarch64-shippable/opt,E9pJ4UzURqG6Sd-Q6dYjBQ,repackage-signing-l10n,2019-06-18 01:10:26.434000+00:00,2019-06-18 01:11:01.938000+00:00,
partials-signing-xh-linux64-shippable/opt,EA6xb1gwTxCny6-sspH5bg,partials-signing,2019-06-18 00:28:35.964000+00:00,2019-06-18 00:28:51.087000+00:00,
partials-signing-rm-win64-shippable/opt,EAi3CsOETH-_wy9Cw4GzLQ,partials-signing,2019-06-18 01:05:44.061000+00:00,2019-06-18 01:06:50.465000+00:00,
repackage-l10n-ca-win32-shippable/opt,EBD3uLMFTne_4bWboyrTiQ,repackage-l10n,2019-06-18 00:34:45.192000+00:00,2019-06-18 00:47:02.053000+00:00,
beetmover-repackage-pt-PT-linux64-shippable/opt,EC6aQtjaSQWFslzuZO2yvg,beetmover-repackage,2019-06-18 00:28:30.137000+00:00,2019-06-18 00:30:52.886000+00:00,pt-PT
checksums-signing-af-linux-shippable/opt,ECHMokytTxyTt9KLYu3QAQ,checksums-signing,2019-06-18 00:51:48.052000+00:00,2019-06-18 00:52:01.049000+00:00,
partials-signing-ast-linux64-shippable/opt,ED1k4PxWQYOE8IwhA2RGgw,partials-signing,2019-06-18 00:28:24.614000+00:00,2019-06-18 00:28:39.447000+00:00,
checksums-signing-zh-CN-macosx64-shippable/opt,ED7ch2SLQDO5v3fr51n3NQ,checksums-signing,2019-06-17 23:39:40.182000+00:00,2019-06-17 23:39:53.100000+00:00,
nightly-l10n-win64-aarch64-shippable-6/opt,EDGSm6nCTC2gbVHVdVVfxg,nightly-l10n,2019-06-17 23:53:56.728000+00:00,2019-06-18 00:29:49.394000+00:00,
partials-dsb-linux64-shippable/opt,EDMu-raQRM-jCcQkVwM9cQ,partials,2019-06-18 00:02:15.554000+00:00,2019-06-18 00:05:58.354000+00:00,
checksums-signing-gu-IN-linux-shippable/opt,EFHCtq3RTRO6YlGNXQaMBg,checksums-signing,2019-06-18 00:54:29.030000+00:00,2019-06-18 00:54:42.351000+00:00,
beetmover-checksums-sk-win32-shippable/opt,EGC_WXJsSeOrRlFqKsX6ww,beetmover-checksums,2019-06-18 01:25:37.421000+00:00,2019-06-18 01:26:33.229000+00:00,sk
checksums-signing-son-linux64-shippable/opt,EGKWAXdmRZKNx1bJRIjUhw,checksums-signing,2019-06-18 00:43:44.867000+00:00,2019-06-18 00:43:57.989000+00:00,
partials-ja-linux64-shippable/opt,EHTbf1pHT-Warf4saKRzmA,partials,2019-06-18 00:05:34.544000+00:00,2019-06-18 00:08:56.934000+00:00,
repackage-l10n-ff-linux-shippable/opt,EHXiMVEPSgCJxC0S7qQxsA,repackage-l10n,2019-06-18 00:25:03.435000+00:00,2019-06-18 00:26:30.020000+00:00,
beetmover-repackage-lo-linux64-shippable/opt,EHr5SAtYTIK1C3ci6JtkRQ,beetmover-repackage,2019-06-18 00:27:01.791000+00:00,2019-06-18 00:28:23.639000+00:00,lo
checksums-signing-ur-win32-shippable/opt,EHwhMwcnTESE7JkgDz--Bg,checksums-signing,2019-06-18 01:12:58.266000+00:00,2019-06-18 01:13:42.186000+00:00,
partials-signing-ca-win64-shippable/opt,EIE04rJHRSik9iKsPgqhQA,partials-signing,2019-06-18 01:05:51.852000+00:00,2019-06-18 01:06:06.786000+00:00,
partials-signing-wo-linux64-shippable/opt,EIICBLerQZqAODtX04RARg,partials-signing,2019-06-18 00:28:38.267000+00:00,2019-06-18 00:28:53.434000+00:00,
repackage-l10n-et-linux64-shippable/opt,EIQwJiVPTAu8NharOgpVQA,repackage-l10n,2019-06-18 00:00:05.084000+00:00,2019-06-18 00:01:45.133000+00:00,
repackage-signing-msi-uk-win32-shippable/opt,EIWPgslpStGLMTZjh0tovA,repackage-signing-msi,2019-06-18 01:05:56.239000+00:00,2019-06-18 01:06:38.653000+00:00,
beetmover-checksums-be-win32-shippable/opt,EJ-AA8QlR5OuI2ZWInfinw,beetmover-checksums,2019-06-18 01:14:09.420000+00:00,2019-06-18 01:14:25.113000+00:00,be
beetmover-repackage-ar-win64-shippable/opt,EKFIUGtkT8yEOp8Om-OluA,beetmover-repackage,2019-06-18 01:26:58.946000+00:00,2019-06-18 01:27:42.798000+00:00,ar
balrog-be-win64-shippable/opt,EKG5UqtZS7iRZgxMGsAp_w,balrog,2019-06-18 01:32:26.862000+00:00,2019-06-18 01:32:44.208000+00:00,
beetmover-checksums-xh-win64-aarch64-shippable/opt,EKKEnQIKRf61uIVBJcwEjw,beetmover-checksums,2019-06-18 01:28:20.738000+00:00,2019-06-18 01:28:34.009000+00:00,xh
beetmover-repackage-nl-linux64-shippable/opt,EKhyQScyQbyQGQanQ5eSig,beetmover-repackage,2019-06-18 00:29:19.661000+00:00,2019-06-18 00:30:04.541000+00:00,nl
partials-signing-fi-win64-shippable/opt,EKtrYOr5Tm-9z2wLzr_f9w,partials-signing,2019-06-18 01:06:23.058000+00:00,2019-06-18 01:06:37.440000+00:00,
partials-signing-ff-macosx64-shippable/opt,ELE2F_Q8TZiz_xlZkWRGWw,partials-signing,2019-06-17 23:39:33.953000+00:00,2019-06-17 23:39:47.485000+00:00,
beetmover-checksums-ltg-win64-aarch64-shippable/opt,EM0V36GBQ8SZXRwkJ8ff2g,beetmover-checksums,2019-06-18 01:35:21.037000+00:00,2019-06-18 01:35:33.835000+00:00,ltg
mar-signing-l10n-te-win64-aarch64-shippable/opt,EM_ji8RMQaidsZ6yehxvFQ,mar-signing-l10n,2019-06-18 01:08:34.198000+00:00,2019-06-18 01:08:49.976000+00:00,
partials-signing-es-CL-win32-shippable/opt,ENAf4lnqQw-wsie_b8p37A,partials-signing,2019-06-18 01:01:17.495000+00:00,2019-06-18 01:01:31.551000+00:00,
mar-signing-l10n-ar-linux64-shippable/opt,ENqCxebgTm2foepR5ch0ZQ,mar-signing-l10n,2019-06-18 00:28:06.869000+00:00,2019-06-18 00:28:21.375000+00:00,
mar-signing-l10n-lo-macosx64-shippable/opt,EOe7PKgQRbeoJWf8CCT1zw,mar-signing-l10n,2019-06-17 23:38:32.918000+00:00,2019-06-17 23:38:46.572000+00:00,
beetmover-repackage-bn-linux-shippable/opt,EOiz1QsyTSi781Rb2n7IJw,beetmover-repackage,2019-06-18 00:44:45.117000+00:00,2019-06-18 00:46:20.931000+00:00,bn
nightly-l10n-signing-linux-shippable-20/opt,EP84Z4PbSW-JwbnyYmF6BA,nightly-l10n-signing,2019-06-17 23:58:06.763000+00:00,2019-06-18 00:10:51.005000+00:00,
partials-signing-ko-linux-shippable/opt,EQcLaOKdQyGLLaXhsSCOwQ,partials-signing,2019-06-18 00:40:14.337000+00:00,2019-06-18 00:40:39.683000+00:00,
mar-signing-l10n-ca-macosx64-shippable/opt,ERSY5E5ZQLyQ238ERDsF_Q,mar-signing-l10n,2019-06-17 23:35:13.878000+00:00,2019-06-17 23:35:28.393000+00:00,
partials-sq-linux64-shippable/opt,ER_h38YHQsyzmeHlij7gCA,partials,2019-06-18 00:01:19.597000+00:00,2019-06-18 00:04:52.478000+00:00,
checksums-signing-hr-win64-shippable/opt,ERanQw50RiyPM6zlekx1Lw,checksums-signing,2019-06-18 01:29:22.783000+00:00,2019-06-18 01:29:35.059000+00:00,
checksums-signing-nn-NO-win32-shippable/opt,ERoIZaT4TVGADyDGv5kerA,checksums-signing,2019-06-18 01:19:37.418000+00:00,2019-06-18 01:19:51.310000+00:00,
nightly-l10n-signing-win64-aarch64-shippable-12/opt,ERpVfCsWSISebvI7elAo2g,nightly-l10n-signing,2019-06-18 00:46:36.570000+00:00,2019-06-18 00:56:58.467000+00:00,
beetmover-checksums-wo-win64-aarch64-shippable/opt,ERqfmkYRRJak2zQEJ2fUEQ,beetmover-checksums,2019-06-18 01:29:59.891000+00:00,2019-06-18 01:31:05.567000+00:00,wo
checksums-signing-te-win64-shippable/opt,ERzlNbgqQ9aC8JQGKZkUaw,checksums-signing,2019-06-18 01:33:53.044000+00:00,2019-06-18 01:34:07.125000+00:00,
beetmover-repackage-ast-macosx64-shippable/opt,ETD006QFTtyAYUfix-ftCw,beetmover-repackage,2019-06-17 23:57:23.814000+00:00,2019-06-17 23:59:09.730000+00:00,ast
beetmover-repackage-te-win64-aarch64-shippable/opt,ETH8-uY4QwSpbZVcfmcZsw,beetmover-repackage,2019-06-18 01:14:40.876000+00:00,2019-06-18 01:16:11.994000+00:00,te
checksums-signing-lt-win64-shippable/opt,EUV1OzjAS9mJcKuuAq-AsA,checksums-signing,2019-06-18 01:36:31.040000+00:00,2019-06-18 01:36:44.786000+00:00,
mar-signing-l10n-sv-SE-linux-shippable/opt,EUct7LcTQYuspLpHnZbJAA,mar-signing-l10n,2019-06-18 00:36:13.612000+00:00,2019-06-18 00:36:33.156000+00:00,
balrog-ur-macosx64-shippable/opt,EUfeoQnbTw-BtoEisRSj8A,balrog,2019-06-17 23:38:10.995000+00:00,2019-06-17 23:38:25.681000+00:00,
balrog-fr-win32-shippable/opt,EUuHluqdSvOtodJdNWhPQw,balrog,2019-06-18 01:18:54.680000+00:00,2019-06-18 01:19:11.842000+00:00,
beetmover-checksums-cak-win32-shippable/opt,EUvDcz22S2GMnqKiky3ssQ,beetmover-checksums,2019-06-18 01:20:14.145000+00:00,2019-06-18 01:20:28.577000+00:00,cak
checksums-signing-lij-macosx64-shippable/opt,EVHdmN4SQyOgF5qVRI-MTw,checksums-signing,2019-06-18 00:11:52.133000+00:00,2019-06-18 00:12:35.929000+00:00,
balrog-hi-IN-macosx64-shippable/opt,EW-iJXwwTAeyyGxKAQZuow,balrog,2019-06-17 23:43:53.864000+00:00,2019-06-17 23:44:41.692000+00:00,
repackage-msi-cak-win64-shippable/opt,EWf_aiVlSeqK5isOzXSsag,repackage-msi,2019-06-18 01:08:33.433000+00:00,2019-06-18 01:18:27.032000+00:00,
checksums-signing-az-win32-shippable/opt,EWhAJKJqTmev_hbO4IOQmQ,checksums-signing,2019-06-18 01:14:32.717000+00:00,2019-06-18 01:14:47.449000+00:00,
balrog-te-macosx64-shippable/opt,EX8pwYe7RYWYZKyTDBfJGA,balrog,2019-06-17 23:48:25.108000+00:00,2019-06-17 23:48:40.577000+00:00,
balrog-fy-NL-win64-aarch64-shippable/opt,EXNGTMnXRNuhkQNH2OIB4A,balrog,2019-06-18 01:22:43.719000+00:00,2019-06-18 01:23:38.797000+00:00,
nightly-l10n-win64-aarch64-shippable-3/opt,EXsWC03_RnSRDqjla6NiZw,nightly-l10n,2019-06-17 23:53:57.133000+00:00,2019-06-18 00:35:23.512000+00:00,
partials-signing-cs-win64-shippable/opt,EXzn4dTUTjShtcSWC2_wfA,partials-signing,2019-06-18 01:06:41.885000+00:00,2019-06-18 01:06:56.485000+00:00,
partials-fy-NL-win64-aarch64-shippable/opt,EY72Jp-jRduogBd-g9HL_w,partials,2019-06-18 01:06:24.936000+00:00,2019-06-18 01:11:03.440000+00:00,
repackage-l10n-hu-linux64-shippable/opt,EYyUHkFVRqm3v7-PI_8R1A,repackage-l10n,2019-06-17 23:56:25.368000+00:00,2019-06-17 23:58:20.287000+00:00,
checksums-signing-sr-win32-shippable/opt,EZYKWIcESum4hFCZOcmqDA,checksums-signing,2019-06-18 01:24:31.524000+00:00,2019-06-18 01:25:04.979000+00:00,
partials-hu-win64-shippable/opt,EZoREsshQKC_xoSqMIGruQ,partials,2019-06-18 00:52:12.819000+00:00,2019-06-18 00:55:25.553000+00:00,
partials-signing-my-win32-shippable/opt,E_4RGv-tSbauH9I3ybZsVQ,partials-signing,2019-06-18 01:03:52.963000+00:00,2019-06-18 01:04:14.146000+00:00,
partials-es-AR-linux-shippable/opt,E_RcEYoTRSeN16bow8IZdg,partials,2019-06-18 00:14:38.650000+00:00,2019-06-18 00:17:53.411000+00:00,
repackage-signing-l10n-da-win64-aarch64-shippable/opt,EaNvXIU1Tb2FehPNZ8vuwQ,repackage-signing-l10n,2019-06-18 01:16:51.274000+00:00,2019-06-18 01:17:37.787000+00:00,
repackage-signing-l10n-kk-win64-aarch64-shippable/opt,EdAATlvpTeOt0CGFuJry-A,repackage-signing-l10n,2019-06-18 01:12:14.346000+00:00,2019-06-18 01:13:17.071000+00:00,
repackage-l10n-crh-linux-shippable/opt,EdN4rIZaScmG6tDcJUPwig,repackage-l10n,2019-06-18 00:14:50.337000+00:00,2019-06-18 00:15:46.707000+00:00,
repackage-l10n-te-linux-shippable/opt,EdNfJ6f9T7mGYaTi_IAgHg,repackage-l10n,2019-06-18 00:14:56.732000+00:00,2019-06-18 00:16:37.585000+00:00,
beetmover-repackage-de-win64-aarch64-shippable/opt,EdYZ-oSNT8SmgLF-AfyhxQ,beetmover-repackage,2019-06-18 01:26:03.739000+00:00,2019-06-18 01:27:06.607000+00:00,de
partials-ach-win64-shippable/opt,EeN2kY2IQcOplqTp31SiCg,partials,2019-06-18 00:51:55.172000+00:00,2019-06-18 00:55:04.694000+00:00,
checksums-signing-hy-AM-win64-aarch64-shippable/opt,Ef8-D5jmSsieIxsBnicmuw,checksums-signing,2019-06-18 01:18:36.511000+00:00,2019-06-18 01:18:48.491000+00:00,
repackage-msi-bn-win64-shippable/opt,EfLck6xtQ32rF26kEbQf5w,repackage-msi,2019-06-18 01:08:14.317000+00:00,2019-06-18 01:16:10.569000+00:00,
mar-signing-l10n-nb-NO-macosx64-shippable/opt,EfTRdNNQRXall6NPpO2WtA,mar-signing-l10n,2019-06-17 23:55:26.530000+00:00,2019-06-17 23:55:40.534000+00:00,
partials-signing-cak-linux64-shippable/opt,EgR-6Ht0T4KX-u05WDV16Q,partials-signing,2019-06-18 00:25:19.007000+00:00,2019-06-18 00:25:33.868000+00:00,
repackage-signing-l10n-zh-CN-win64-aarch64-shippable/opt,Egdo3fvhSg2vxrB-SnkfHQ,repackage-signing-l10n,2019-06-18 01:23:05.756000+00:00,2019-06-18 01:23:50.465000+00:00,
repackage-l10n-it-win32-shippable/opt,Eh4u9XljR1eobeIoijkYhg,repackage-l10n,2019-06-18 00:21:12.803000+00:00,2019-06-18 00:32:06.005000+00:00,
mar-signing-l10n-ne-NP-win64-shippable/opt,EhVqTWIcRfGopdsS-mgiEw,mar-signing-l10n,2019-06-18 01:06:53.902000+00:00,2019-06-18 01:07:05.678000+00:00,
mar-signing-l10n-nn-NO-win64-shippable/opt,Eha-OzFQSQ2TYFkoLYNWdQ,mar-signing-l10n,2019-06-18 01:07:21.127000+00:00,2019-06-18 01:07:33.048000+00:00,
partials-mr-win32-shippable/opt,Ehe1djX7Q3-YxU6U7ibrVg,partials,2019-06-18 00:51:33.350000+00:00,2019-06-18 00:54:27.191000+00:00,
partials-oc-linux64-shippable/opt,Ei2JwrD5ROm4DNschoRgcQ,partials,2019-06-18 00:01:11.219000+00:00,2019-06-18 00:04:44.534000+00:00,
beetmover-checksums-vi-linux-shippable/opt,Ei7KjqCQSluHTCr4l-VrmQ,beetmover-checksums,2019-06-18 00:49:33.388000+00:00,2019-06-18 00:50:37.583000+00:00,vi
beetmover-repackage-af-win64-shippable/opt,EiqBdiNWQR6ifGGBge3czw,beetmover-repackage,2019-06-18 01:26:48.202000+00:00,2019-06-18 01:27:52.921000+00:00,af
partials-signing-ta-win32-shippable/opt,EjA422ohR-2KHYfCbOtwaA,partials-signing,2019-06-18 01:02:12.122000+00:00,2019-06-18 01:02:27.135000+00:00,
partials-id-linux64-shippable/opt,EjYxWhrCSUqymszzClRonA,partials,2019-06-18 00:01:59.442000+00:00,2019-06-18 00:05:15.822000+00:00,
repackage-l10n-oc-macosx64-shippable/opt,EjhMknqmRTG2Db3x-rWUEQ,repackage-l10n,2019-06-17 23:40:30.896000+00:00,2019-06-17 23:42:48.071000+00:00,
beetmover-repackage-ca-win32-shippable/opt,EjwAYxb1TPOjs6eYqqPLHg,beetmover-repackage,2019-06-18 01:11:18.806000+00:00,2019-06-18 01:13:13.097000+00:00,ca
beetmover-checksums-en-CA-linux64-shippable/opt,EkJ1ttKSSSGrIXIsFp1JPg,beetmover-checksums,2019-06-18 00:44:39.873000+00:00,2019-06-18 00:45:18.179000+00:00,en-CA
partials-signing-uz-linux-shippable/opt,EkVhM-FoRMKOrNNzJRJoHQ,partials-signing,2019-06-18 00:32:22.559000+00:00,2019-06-18 00:32:40.938000+00:00,
repackage-signing-l10n-ms-win64-aarch64-shippable/opt,El6VQj6RTDeve0t5rgQvQw,repackage-signing-l10n,2019-06-18 01:10:39.513000+00:00,2019-06-18 01:12:38.184000+00:00,
beetmover-repackage-az-win64-aarch64-shippable/opt,EltX6-y-QfKyL5RpWkQmkg,beetmover-repackage,2019-06-18 01:24:48.239000+00:00,2019-06-18 01:25:47.781000+00:00,az
repackage-l10n-id-linux-shippable/opt,Em1KGmPsTc2L1cEohPaD-g,repackage-l10n,2019-06-18 00:14:57.145000+00:00,2019-06-18 00:18:43.212000+00:00,
repackage-msi-sv-SE-win64-shippable/opt,Em9Xo9NpTsaOGXMRGaXvhA,repackage-msi,2019-06-18 01:08:31.117000+00:00,2019-06-18 01:19:35.622000+00:00,
mar-signing-l10n-dsb-linux64-shippable/opt,EmGwuwJtRsqdOEXLzZaTIw,mar-signing-l10n,2019-06-18 00:24:54.308000+00:00,2019-06-18 00:25:10.417000+00:00,
beetmover-repackage-kab-win64-aarch64-shippable/opt,EnIQUo2pQz-Odg3GzeuGAw,beetmover-repackage,2019-06-18 01:20:09.966000+00:00,2019-06-18 01:21:38.125000+00:00,kab
beetmover-repackage-xh-win64-shippable/opt,EnMu3cDbQ2O90B6jRF9K8A,beetmover-repackage,2019-06-18 01:20:38.892000+00:00,2019-06-18 01:21:27.612000+00:00,xh
partials-pt-PT-linux-shippable/opt,EnWxwmU-Tri05HxRQQ_3Bw,partials,2019-06-18 00:16:36.262000+00:00,2019-06-18 00:20:00.112000+00:00,
partials-signing-es-CL-macosx64-shippable/opt,Ep7KjZpWTwOR2cTfhC0rCg,partials-signing,2019-06-18 00:00:34.542000+00:00,2019-06-18 00:00:49.825000+00:00,
repackage-signing-l10n-gl-win32-shippable/opt,EpLT2RH7SmS-LEZSbgxBAg,repackage-signing-l10n,2019-06-18 00:59:14.682000+00:00,2019-06-18 01:00:01.454000+00:00,
mar-signing-l10n-sk-linux64-shippable/opt,EpOZbhrRTBaOnLhXGGxX5g,mar-signing-l10n,2019-06-18 00:26:10.110000+00:00,2019-06-18 00:27:27.454000+00:00,
beetmover-checksums-nn-NO-macosx64-shippable/opt,EpzNuzz2TmeMy5GKIGLsPg,beetmover-checksums,2019-06-18 00:15:32.747000+00:00,2019-06-18 00:15:45.625000+00:00,nn-NO
mar-signing-l10n-ast-win32-shippable/opt,EqeYJEzESyaVzw-Vldg4FA,mar-signing-l10n,2019-06-18 00:50:07.936000+00:00,2019-06-18 00:50:19.987000+00:00,
beetmover-repackage-cy-macosx64-shippable/opt,EqnXh8mVSg-l8dNtcanioA,beetmover-repackage,2019-06-18 00:07:09.105000+00:00,2019-06-18 00:08:24.098000+00:00,cy
partials-signing-te-win32-shippable/opt,EqpTXBKFRECSzo8go99uyw,partials-signing,2019-06-18 01:06:47.627000+00:00,2019-06-18 01:07:47.534000+00:00,
mar-signing-l10n-id-linux-shippable/opt,EqxvttapS7G4EOtLRV-8WA,mar-signing-l10n,2019-06-18 00:34:59.086000+00:00,2019-06-18 00:36:08.222000+00:00,
partials-lv-win64-aarch64-shippable/opt,EsO0q4LlRdiDvXaA1amVDg,partials,2019-06-18 01:04:18.540000+00:00,2019-06-18 01:08:43.673000+00:00,
repackage-l10n-tl-linux64-shippable/opt,EsijdoGPSsehgtklb4PPNg,repackage-l10n,2019-06-17 23:58:12.841000+00:00,2019-06-18 00:03:16.533000+00:00,
beetmover-checksums-lo-win64-aarch64-shippable/opt,EtbBgMG4SDK7-DGscoLvYA,beetmover-checksums,2019-06-18 01:35:14.778000+00:00,2019-06-18 01:35:27.535000+00:00,lo
partials-fi-win64-shippable/opt,EtkuuquHQNiCIfw8bdYGhA,partials,2019-06-18 00:53:36.986000+00:00,2019-06-18 00:56:55.180000+00:00,
partials-signing-trs-linux-shippable/opt,EtsrKpLsSWa_8mHX7HRn9Q,partials-signing,2019-06-18 00:38:00.452000+00:00,2019-06-18 00:38:21.771000+00:00,
nightly-l10n-signing-linux-shippable-10/opt,Eu3wHFN1STWAYnvbvXpl6A,nightly-l10n-signing,2019-06-18 00:00:13.559000+00:00,2019-06-18 00:14:52.192000+00:00,
partials-sq-macosx64-shippable/opt,EuT8JHV-RfCE8FQa8I3Gbg,partials,2019-06-17 23:43:37.620000+00:00,2019-06-17 23:48:44.429000+00:00,
repackage-signing-msi-lt-win32-shippable/opt,EucISxxRRiGi_MVJIRcreA,repackage-signing-msi,2019-06-18 01:06:32.917000+00:00,2019-06-18 01:07:02.378000+00:00,
beetmover-repackage-kk-linux-shippable/opt,Euf4BLT1Q7Kh_w3aP6kpHQ,beetmover-repackage,2019-06-18 00:49:45.563000+00:00,2019-06-18 00:50:34.653000+00:00,kk
balrog-sl-linux64-shippable/opt,EusN7dCuTTOBRbYN-6y1jw,balrog,2019-06-18 00:31:35.169000+00:00,2019-06-18 00:31:56.730000+00:00,
partials-signing-zh-TW-macosx64-shippable/opt,EuycQaGYQymc6McHODmyFg,partials-signing,2019-06-17 23:38:55.491000+00:00,2019-06-17 23:39:11.584000+00:00,
checksums-signing-is-linux-shippable/opt,EuzYGBmKSFWxVuLpzW9dTg,checksums-signing,2019-06-18 00:54:35.177000+00:00,2019-06-18 00:54:47.249000+00:00,
partials-crh-win64-aarch64-shippable/opt,EwZITYD4TsSSgLDC96Lg2g,partials,2019-06-18 01:14:29.800000+00:00,2019-06-18 01:18:30.637000+00:00,
mar-signing-l10n-kn-linux64-shippable/opt,EwbzaXcLQmuwx9Wz3ipRTQ,mar-signing-l10n,2019-06-18 00:26:17.561000+00:00,2019-06-18 00:26:32.344000+00:00,
balrog-pt-BR-win64-shippable/opt,Ewq6MdFJR9iP828EKo1Hig,balrog,2019-06-18 01:34:15.396000+00:00,2019-06-18 01:35:33.531000+00:00,
balrog-ka-linux-shippable/opt,ExY9QMAkSHeUtWpYHPvflA,balrog,2019-06-18 00:41:13.309000+00:00,2019-06-18 00:42:06.784000+00:00,
beetmover-repackage-ja-linux64-shippable/opt,ExlW8i-HTeiAfOzQSGDSkQ,beetmover-repackage,2019-06-18 00:31:55.183000+00:00,2019-06-18 00:33:03.102000+00:00,ja
balrog-af-linux64-shippable/opt,Ey3B2-vDSiuUqIqj8BHUgw,balrog,2019-06-18 00:34:12.286000+00:00,2019-06-18 00:35:03.671000+00:00,
balrog-hsb-macosx64-shippable/opt,EyLlhBz2Q3m4NNknd6tjFg,balrog,2019-06-17 23:41:54.417000+00:00,2019-06-17 23:42:08.886000+00:00,
