name,taskid,kind,started,resolved,locale
repackage-signing-l10n-ltg-win64-shippable/opt,B4GTLhxaTCSOdEXxsckSgQ,repackage-signing-l10n,2019-06-18 01:18:31.153000+00:00,2019-06-18 01:19:06.526000+00:00,
mar-signing-l10n-son-win64-aarch64-shippable/opt,B4X9POJARYeAE6-8Ms8rZg,mar-signing-l10n,2019-06-18 01:11:55.936000+00:00,2019-06-18 01:12:19.070000+00:00,
balrog-hsb-win64-aarch64-shippable/opt,B4Y1nPCSQKCV2ddjBJlhSA,balrog,2019-06-18 01:13:46.445000+00:00,2019-06-18 01:14:21.307000+00:00,
beetmover-repackage-sl-win64-aarch64-shippable/opt,B5HWOZkoRcKOxigY3r564Q,beetmover-repackage,2019-06-18 01:22:57.638000+00:00,2019-06-18 01:24:28.451000+00:00,sl
beetmover-checksums-tr-linux-shippable/opt,B6DROk5zS1mzFPCFmuR1-g,beetmover-checksums,2019-06-18 00:53:52.416000+00:00,2019-06-18 00:54:04.836000+00:00,tr
beetmover-checksums-nl-linux64-shippable/opt,B6R3Ivg9QcONxJb3CLrdAA,beetmover-checksums,2019-06-18 00:44:30.473000+00:00,2019-06-18 00:45:18.882000+00:00,nl
checksums-signing-te-linux64-shippable/opt,B6yvwoGlS9-4C71J7RbR7g,checksums-signing,2019-06-18 00:41:43.291000+00:00,2019-06-18 00:41:55.908000+00:00,
repackage-l10n-tr-win64-aarch64-shippable/opt,B7Ce-m2aTlOcX3ClQirQhg,repackage-l10n,2019-06-18 00:51:47.122000+00:00,2019-06-18 01:03:23.447000+00:00,
repackage-msi-sl-win32-shippable/opt,B7UzYxpdSSOegOw3X1IyGQ,repackage-msi,2019-06-18 00:57:27.485000+00:00,2019-06-18 01:06:06.220000+00:00,
balrog-wo-win32-shippable/opt,B8SUtSdiT9e4YXt0mQ3XzQ,balrog,2019-06-18 01:07:18.144000+00:00,2019-06-18 01:07:34.624000+00:00,
repackage-signing-l10n-tl-win64-aarch64-shippable/opt,B9HYSlsrS22aCepMRcSkMg,repackage-signing-l10n,2019-06-18 01:08:06.264000+00:00,2019-06-18 01:08:49.780000+00:00,
checksums-signing-wo-win64-shippable/opt,B9VrBzSjR3CgOKMZDKIrRg,checksums-signing,2019-06-18 01:18:55.190000+00:00,2019-06-18 01:19:58.588000+00:00,
mar-signing-l10n-ms-linux64-shippable/opt,B9awIWZeRc2nNkBwpnuASg,mar-signing-l10n,2019-06-18 00:14:26.410000+00:00,2019-06-18 00:14:40.536000+00:00,
repackage-signing-l10n-hu-win64-shippable/opt,BAO-lwETR32tj-qy5CVlOw,repackage-signing-l10n,2019-06-18 01:02:49.483000+00:00,2019-06-18 01:03:24.948000+00:00,
mar-signing-l10n-sr-linux64-shippable/opt,BBU4RdkqRHu_u-KPigc2FA,mar-signing-l10n,2019-06-18 00:25:28.620000+00:00,2019-06-18 00:25:43.299000+00:00,
partials-signing-ur-win64-aarch64-shippable/opt,BBlM5EhZRt6GxSJQY21rjg,partials-signing,2019-06-18 01:11:49.950000+00:00,2019-06-18 01:12:16.508000+00:00,
repackage-signing-msi-fa-win64-shippable/opt,BBphS4VOSQ-S3-FnBd3org,repackage-signing-msi,2019-06-18 01:11:54.341000+00:00,2019-06-18 01:12:19.777000+00:00,
beetmover-checksums-pa-IN-linux-shippable/opt,BByJ0l2mSZWqI689_COT9A,beetmover-checksums,2019-06-18 00:55:05.472000+00:00,2019-06-18 00:56:00.730000+00:00,pa-IN
balrog-ro-win32-shippable/opt,BCfS5zYSRLeU3a9nRVc3Cw,balrog,2019-06-18 01:15:15.369000+00:00,2019-06-18 01:15:33.164000+00:00,
mar-signing-l10n-si-win64-shippable/opt,BCg_lMAaRemsKsOcyhFOhA,mar-signing-l10n,2019-06-18 01:01:02.550000+00:00,2019-06-18 01:01:17.470000+00:00,
repackage-l10n-lt-win64-aarch64-shippable/opt,BCpSiy8WSuKdu-W0D3GwsQ,repackage-l10n,2019-06-18 00:57:00.135000+00:00,2019-06-18 01:08:30.425000+00:00,
partials-he-win64-shippable/opt,BD0_J3ceS9OakqsipuLsSw,partials,2019-06-18 00:50:49.145000+00:00,2019-06-18 00:54:11.610000+00:00,
beetmover-repackage-my-linux64-shippable/opt,BDIpISLZTcGNWBz3eMeFuw,beetmover-repackage,2019-06-18 00:23:48.626000+00:00,2019-06-18 00:24:27.960000+00:00,my
partials-signing-ach-linux-shippable/opt,BDkbdVHXSbyqe3Na277wvA,partials-signing,2019-06-18 00:54:09.573000+00:00,2019-06-18 00:54:24.542000+00:00,
repackage-signing-msi-fi-win32-shippable/opt,BDxvM1jKScadjT-VuqQ-cQ,repackage-signing-msi,2019-06-18 01:17:45.120000+00:00,2019-06-18 01:18:19.903000+00:00,
checksums-signing-en-GB-linux-shippable/opt,BE00s8q7Sh-ZTNxiGpmRaQ,checksums-signing,2019-06-18 00:53:14.569000+00:00,2019-06-18 00:53:26.961000+00:00,
beetmover-repackage-de-win32-shippable/opt,BEIb5aV_RGu0UU-g4c7aXQ,beetmover-repackage,2019-06-18 01:10:11.754000+00:00,2019-06-18 01:11:10.244000+00:00,de
beetmover-checksums-bn-win32-shippable/opt,BEKlU0tJQHiAhxlM171CLA,beetmover-checksums,2019-06-18 01:16:11.584000+00:00,2019-06-18 01:16:26.745000+00:00,bn
partials-bg-linux64-shippable/opt,BEafBiD8ShKux4nqXPoo_A,partials,2019-06-18 00:00:05.106000+00:00,2019-06-18 00:03:29.911000+00:00,
beetmover-checksums-de-win64-shippable/opt,BEpxVuk3SriULTrDjzW4hw,beetmover-checksums,2019-06-18 01:38:35.446000+00:00,2019-06-18 01:38:50.318000+00:00,de
checksums-signing-ka-win64-aarch64-shippable/opt,BEuRN1kCR8KBTDjp4_e0EA,checksums-signing,2019-06-18 01:23:05.755000+00:00,2019-06-18 01:23:18.114000+00:00,
checksums-signing-nl-linux64-shippable/opt,BFZXwQK7QZKQXKN2HB9y_A,checksums-signing,2019-06-18 00:43:03.366000+00:00,2019-06-18 00:43:42.992000+00:00,
mar-signing-l10n-nl-linux64-shippable/opt,BFnN5lUUTUaT8jslnsDSpw,mar-signing-l10n,2019-06-18 00:25:27.399000+00:00,2019-06-18 00:25:41.344000+00:00,
partials-bs-win64-shippable/opt,BG7R-ul7QXagbgyQprYjvQ,partials,2019-06-18 00:52:12.752000+00:00,2019-06-18 00:55:22.973000+00:00,
balrog-gl-macosx64-shippable/opt,BG8jpiEiTUa3UjCSegtsUQ,balrog,2019-06-17 23:51:51.448000+00:00,2019-06-17 23:52:06.424000+00:00,
partials-signing-dsb-win64-shippable/opt,BGTTwsEqTMajXdsi5tNeMw,partials-signing,2019-06-18 01:06:33.070000+00:00,2019-06-18 01:07:28.284000+00:00,
beetmover-checksums-uk-win32-shippable/opt,BGUnYhyVRSSlw6AFIrk2qw,beetmover-checksums,2019-06-18 01:14:40.410000+00:00,2019-06-18 01:15:27.866000+00:00,uk
