name,taskid,kind,started,resolved
test-linux64/debug-mochitest-browser-chrome-sw-e10s-14,AKnAay1iS2uvP57thjDMPw,test,2019-06-17 10:59:41.228000+00:00,2019-06-17 11:23:03.156000+00:00
test-android-em-4.3-arm7-api-16/pgo-reftest-1proc-8,AMnM0M7eR_CaigR0cI6BqA,test,2019-06-17 11:57:13.481000+00:00,2019-06-17 12:35:38.560000+00:00
test-linux32-shippable/opt-web-platform-tests-e10s-5,AP_b0RYSQHS11fWa9pNFUg,test,2019-06-17 11:51:40.296000+00:00,2019-06-17 12:26:48.141000+00:00
test-windows10-64-ccov/debug-mochitest-browser-chrome-e10s-2,AQm2BHGLTB642xhncFCw_g,test,2019-06-17 11:54:36.399000+00:00,2019-06-17 13:32:48.338000+00:00
test-linux64-shippable/opt-mochitest-e10s-3,AQt96a0RQYSCi7aRRb2n2A,test,2019-06-17 12:04:34.167000+00:00,2019-06-17 12:27:58.275000+00:00
test-linux64-ccov/debug-xpcshell-e10s-6,AR3aZVNPR-GnrIlduSLpMQ,test,2019-06-17 11:08:21.586000+00:00,2019-06-17 11:36:57.218000+00:00
test-macosx1010-64/debug-gtest-1proc,ASfSEjOwSq6AuIJfaOL9MA,test,2019-06-17 10:53:11.243000+00:00,2019-06-17 11:08:58.391000+00:00
test-android-hw-p2-8-0-arm7-api-16/pgo-raptor-tp6m-6-geckoview-cold-e10s,ATfwoQgVSx25WSpcF3ZYlw,test,2019-06-17 12:14:14.868000+00:00,2019-06-17 12:26:18.181000+00:00
test-linux64-shippable/opt-mochitest-media-e10s-2,ATzppMmXTn2JotF3p0Aq-g,test,2019-06-17 12:04:33.388000+00:00,2019-06-17 12:24:18.878000+00:00
test-android-hw-p2-8-0-android-aarch64/pgo-raptor-tp6m-14-geckoview-cold-e10s,AUGXfLn4QYi5ZmYtT28iXw,test,2019-06-17 11:57:20.828000+00:00,2019-06-17 12:20:39.026000+00:00
test-linux64-ccov/debug-web-platform-tests-e10s-15,AWxmq8W5RRqRdS-rOnEw_Q,test,2019-06-17 11:08:21.788000+00:00,2019-06-17 13:09:41.696000+00:00
test-linux64-shippable-qr/opt-talos-chrome-e10s,AXK9PBNdRw2ofrUHcgOFMQ,test,2019-06-17 12:04:24.533000+00:00,2019-06-17 12:11:33.975000+00:00
test-android-em-7.0-x86_64/debug-reftest-e10s-1,AYNncx6NSOmcjBiya_VY0Q,test,2019-06-17 10:52:52.796000+00:00,2019-06-17 11:13:02.734000+00:00
test-android-em-4.3-arm7-api-16/opt-mochitest-1proc-14,AYzAoA_sSC6DQTJ-xDOzzA,test,2019-06-17 11:13:52.761000+00:00,2019-06-17 11:39:14.457000+00:00
test-android-em-7.0-x86_64/debug-cppunit-1proc,AYzGp2wJS5SdstE-LxIazw,test,2019-06-17 10:52:52.805000+00:00,2019-06-17 10:55:57.948000+00:00
test-windows10-64/opt-mochitest-webgl1-ext-e10s,AZpyK35ARQmQU_uI0B0cmA,test,2019-06-17 11:25:56.872000+00:00,2019-06-17 11:35:23.713000+00:00
test-android-hw-p2-8-0-arm7-api-16/pgo-raptor-tp6m-1-geckoview-cold-e10s,A_X4vaA1QOyqwLcIofcdZw,test,2019-06-17 12:14:40.766000+00:00,2019-06-17 12:37:36.381000+00:00
test-linux64-qr/debug-mochitest-media-spi-e10s-3,A_v0HxNpTqS3j4Qtw4Kr3A,test,2019-06-17 11:00:37.258000+00:00,2019-06-17 11:22:31.208000+00:00
test-android-em-4.3-arm7-api-16/pgo-geckoview-junit-e10s-2,AaWOli67TkmNXihy3FgmPA,test,2019-06-17 11:57:13.479000+00:00,2019-06-17 12:29:22.451000+00:00
test-windows7-32/debug-mochitest-media-spi-e10s-1,Ab3M8zfST3yhTcR6bTUWwQ,test,2019-06-17 11:26:22.975000+00:00,2019-06-17 11:50:44.248000+00:00
test-android-hw-g5-7-0-arm7-api-16/opt-raptor-tp6m-10-geckoview-e10s,Ab55NlkFRQOTa4A5NwYJXw,test,2019-06-17 11:23:44.548000+00:00,2019-06-17 11:33:24.054000+00:00
test-windows10-aarch64/opt-reftest-e10s-2,AdypNz3zSZGil-MnSmMs5Q,test,2019-06-17 11:20:05.196000+00:00,2019-06-17 11:53:28.079000+00:00
test-windows10-64-shippable-qr/opt-mochitest-media-e10s,AeECpHviRTuE8kaH97ROsA,test,2019-06-17 12:10:44.120000+00:00,2019-06-17 12:50:33.183000+00:00
test-windows10-64-qr/debug-web-platform-tests-e10s-9,AfVFh7cITEqIsXP7ehPJiw,test,2019-06-17 11:40:06.051000+00:00,2019-06-17 12:13:22.672000+00:00
test-android-hw-g5-7-0-arm7-api-16/pgo-raptor-speedometer-geckoview-power-e10s,AfsknjXbSzaSF7pahXWK1g,test,2019-06-17 12:18:21.971000+00:00,2019-06-17 12:27:23.090000+00:00
